u_id,i_id,overall,service,cleanliness,value,sleep_q,location,rooms
1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4.0,4.0,3.0,3.0,0.0,0.0,0.0
1,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,4.0,5.0,0.0,0.0,5.0,5.0,0.0
1,5,5.0,5.0,5.0,0.0,0.0,0.0,5.0
1,6,5.0,5.0,5.0,5.0,5.0,5.0,4.0
1,7,5.0,5.0,5.0,4.0,4.0,5.0,5.0
1,8,5.0,5.0,0.0,0.0,0.0,5.0,4.0
1,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,10,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,11,5.0,5.0,0.0,4.0,0.0,0.0,4.0
1,12,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,13,5.0,5.0,5.0,0.0,0.0,0.0,5.0
2,14,2.0,2.0,4.0,2.0,2.0,4.0,3.0
2,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16,4.0,5.0,5.0,5.0,4.0,5.0,5.0
2,17,4.0,5.0,4.0,3.0,5.0,5.0,5.0
2,18,4.0,4.0,4.0,5.0,0.0,0.0,0.0
2,19,4.0,4.0,0.0,0.0,4.0,0.0,3.0
2,20,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2,21,5.0,5.0,5.0,5.0,0.0,0.0,0.0
2,22,5.0,5.0,5.0,5.0,5.0,3.0,5.0
2,23,5.0,5.0,5.0,5.0,0.0,0.0,0.0
2,24,5.0,5.0,5.0,4.0,5.0,5.0,5.0
2,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11,3.0,3.0,0.0,0.0,3.0,5.0,0.0
3,26,3.0,3.0,0.0,0.0,3.0,0.0,2.0
3,27,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,28,4.0,4.0,4.0,3.0,3.0,3.0,4.0
3,29,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,30,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,5.0,5.0,4.0,5.0,3.0,5.0,3.0
3,12,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3,31,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,33,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,26,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,34,4.0,5.0,4.0,4.0,5.0,5.0,4.0
4,35,4.0,4.0,0.0,4.0,0.0,5.0,0.0
4,36,4.0,5.0,0.0,3.0,0.0,5.0,0.0
4,37,4.0,5.0,4.0,0.0,4.0,0.0,0.0
4,38,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20,5.0,5.0,0.0,0.0,0.0,5.0,5.0
4,39,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,40,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,41,4.0,5.0,0.0,4.0,5.0,0.0,0.0
5,42,4.0,4.0,4.0,3.0,4.0,4.0,4.0
5,43,4.0,4.0,4.0,4.0,0.0,0.0,0.0
5,26,4.0,4.0,4.0,3.0,3.0,4.0,3.0
5,44,4.0,4.0,0.0,0.0,0.0,3.0,4.0
5,45,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,38,5.0,5.0,5.0,0.0,5.0,0.0,0.0
5,3,5.0,5.0,0.0,0.0,5.0,5.0,0.0
5,2,5.0,5.0,5.0,0.0,0.0,5.0,0.0
5,46,5.0,4.0,5.0,4.0,5.0,5.0,5.0
5,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,47,5.0,5.0,5.0,5.0,0.0,0.0,0.0
6,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,49,1.0,1.0,2.0,1.0,0.0,0.0,0.0
6,50,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,3.0,3.0,3.0,4.0,4.0,4.0,3.0
6,51,3.0,4.0,0.0,2.0,0.0,0.0,5.0
6,52,4.0,5.0,4.0,5.0,5.0,4.0,5.0
6,38,4.0,5.0,0.0,4.0,0.0,4.0,0.0
6,53,4.0,5.0,0.0,4.0,0.0,0.0,4.0
6,54,4.0,5.0,0.0,0.0,4.0,0.0,3.0
6,55,4.0,4.0,0.0,4.0,0.0,5.0,0.0
6,43,4.0,4.0,5.0,0.0,0.0,0.0,4.0
6,28,4.0,5.0,0.0,0.0,5.0,0.0,5.0
6,56,4.0,4.0,4.0,4.0,5.0,5.0,3.0
6,57,5.0,5.0,0.0,0.0,5.0,5.0,0.0
6,11,5.0,5.0,0.0,5.0,5.0,0.0,0.0
7,42,1.0,1.0,1.0,1.0,1.0,3.0,1.0
7,58,2.0,4.0,1.0,0.0,0.0,0.0,2.0
7,34,3.0,2.0,0.0,3.0,3.0,0.0,0.0
7,59,3.0,4.0,4.0,0.0,0.0,5.0,0.0
7,60,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,26,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,41,4.0,4.0,4.0,3.0,3.0,4.0,4.0
7,43,4.0,4.0,0.0,0.0,0.0,3.0,4.0
7,61,4.0,4.0,0.0,0.0,4.0,4.0,0.0
7,6,5.0,5.0,0.0,0.0,5.0,5.0,0.0
7,29,5.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,5.0,5.0,5.0,5.0,0.0,0.0,0.0
7,20,5.0,5.0,5.0,4.0,5.0,5.0,5.0
7,2,5.0,5.0,5.0,4.0,0.0,0.0,0.0
7,62,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7,63,5.0,5.0,5.0,4.0,4.0,5.0,4.0
7,32,5.0,5.0,5.0,0.0,0.0,0.0,4.0
7,64,5.0,5.0,5.0,5.0,5.0,5.0,0.0
8,65,2.0,3.0,3.0,2.0,2.0,2.0,3.0
8,36,3.0,4.0,2.0,3.0,3.0,3.0,2.0
8,61,3.0,3.0,4.0,4.0,4.0,3.0,3.0
8,12,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,62,4.0,4.0,0.0,0.0,0.0,4.0,4.0
8,1,4.0,4.0,0.0,4.0,4.0,0.0,0.0
8,34,4.0,4.0,0.0,0.0,0.0,4.0,4.0
8,5,4.0,4.0,0.0,0.0,4.0,0.0,4.0
8,43,4.0,5.0,4.0,4.0,4.0,5.0,4.0
8,66,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8,67,5.0,5.0,5.0,5.0,5.0,4.0,5.0
8,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8,68,5.0,5.0,0.0,0.0,0.0,5.0,4.0
8,69,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,46,5.0,5.0,5.0,0.0,0.0,0.0,5.0
8,14,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,59,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8,70,5.0,5.0,5.0,4.0,5.0,5.0,5.0
9,71,4.0,0.0,0.0,0.0,0.0,0.0,0.0
9,72,4.0,4.0,0.0,0.0,5.0,0.0,4.0
9,73,4.0,4.0,0.0,4.0,0.0,0.0,4.0
9,49,4.0,5.0,0.0,5.0,1.0,0.0,0.0
9,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,75,5.0,5.0,5.0,5.0,5.0,5.0,5.0
