u_id,i_id,overall,service,value,food,atmosphere
1,1,1.0,0.0,0.0,0.0,0.0
1,2,2.0,5.0,1.0,1.0,1.0
1,3,3.0,0.0,0.0,0.0,0.0
1,4,3.0,3.0,3.0,3.0,0.0
1,5,3.0,4.0,2.0,3.0,0.0
1,6,3.0,0.0,0.0,0.0,0.0
1,7,3.0,3.0,3.0,3.0,0.0
1,8,4.0,3.0,4.0,5.0,3.0
1,9,4.0,4.0,4.0,5.0,0.0
1,10,4.0,0.0,0.0,0.0,0.0
1,11,4.0,4.0,5.0,4.0,0.0
1,12,4.0,5.0,4.0,4.0,4.0
1,13,4.0,0.0,0.0,0.0,0.0
1,14,4.0,0.0,0.0,0.0,0.0
1,15,4.0,4.0,4.0,4.0,0.0
1,16,4.0,5.0,4.0,5.0,0.0
1,17,4.0,4.0,4.0,4.0,3.0
1,18,4.0,0.0,0.0,0.0,0.0
1,19,5.0,4.0,3.0,4.0,0.0
1,20,5.0,5.0,4.0,5.0,4.0
1,21,5.0,0.0,0.0,0.0,0.0
1,22,5.0,0.0,0.0,0.0,0.0
1,23,5.0,0.0,0.0,0.0,0.0
2,24,1.0,1.0,1.0,1.0,4.0
2,25,3.0,4.0,2.0,2.0,0.0
2,26,3.0,2.0,3.0,4.0,0.0
2,27,3.0,3.0,2.0,3.0,0.0
2,28,3.0,1.0,3.0,5.0,0.0
2,29,4.0,5.0,4.0,4.0,0.0
2,30,4.0,5.0,4.0,4.0,0.0
2,31,4.0,4.0,3.0,5.0,0.0
2,32,4.0,4.0,4.0,5.0,0.0
2,33,4.0,4.0,4.0,4.0,5.0
2,34,4.0,5.0,5.0,4.0,0.0
2,35,4.0,2.0,3.0,4.0,0.0
2,36,4.0,5.0,3.0,2.0,5.0
2,37,4.0,4.0,5.0,4.0,0.0
2,38,4.0,5.0,4.0,4.0,0.0
2,39,5.0,0.0,0.0,0.0,0.0
2,40,5.0,5.0,5.0,5.0,0.0
2,41,5.0,5.0,5.0,4.0,0.0
2,42,5.0,0.0,0.0,0.0,0.0
2,43,5.0,4.0,5.0,5.0,0.0
2,44,5.0,0.0,0.0,0.0,0.0
2,45,5.0,5.0,5.0,5.0,0.0
2,46,5.0,0.0,0.0,0.0,0.0
2,47,5.0,5.0,5.0,5.0,0.0
2,48,5.0,5.0,3.0,5.0,0.0
2,49,5.0,0.0,0.0,0.0,0.0
2,50,5.0,5.0,4.0,5.0,0.0
2,23,5.0,5.0,5.0,5.0,0.0
2,51,5.0,5.0,5.0,5.0,0.0
2,52,5.0,0.0,0.0,0.0,0.0
2,53,5.0,4.0,5.0,5.0,5.0
2,54,5.0,5.0,4.0,5.0,0.0
3,55,2.0,3.0,2.0,1.0,0.0
3,56,4.0,5.0,4.0,4.0,0.0
3,57,5.0,0.0,0.0,0.0,0.0
3,58,5.0,0.0,0.0,0.0,0.0
3,59,5.0,0.0,0.0,0.0,0.0
3,60,5.0,5.0,5.0,5.0,0.0
3,61,5.0,5.0,4.0,5.0,0.0
3,62,5.0,0.0,0.0,0.0,0.0
3,63,5.0,0.0,0.0,0.0,0.0
3,64,5.0,5.0,5.0,5.0,0.0
4,65,3.0,4.0,3.0,3.0,0.0
4,66,4.0,4.0,3.0,4.0,0.0
4,67,4.0,0.0,0.0,0.0,0.0
4,68,4.0,4.0,5.0,5.0,0.0
4,69,5.0,0.0,0.0,0.0,0.0
4,13,5.0,0.0,0.0,0.0,0.0
4,70,5.0,5.0,5.0,5.0,0.0
4,71,5.0,5.0,4.0,5.0,3.0
4,72,5.0,5.0,4.0,5.0,4.0
4,46,5.0,0.0,0.0,0.0,0.0
5,73,2.0,1.0,1.0,1.0,0.0
5,74,3.0,0.0,0.0,0.0,0.0
5,75,3.0,3.0,3.0,3.0,0.0
5,76,4.0,0.0,0.0,0.0,0.0
5,77,4.0,0.0,0.0,0.0,0.0
5,78,4.0,5.0,5.0,4.0,4.0
5,79,4.0,0.0,0.0,0.0,0.0
5,80,4.0,4.0,3.0,4.0,5.0
5,81,4.0,4.0,4.0,4.0,0.0
5,82,5.0,5.0,5.0,5.0,5.0
5,3,5.0,5.0,3.0,5.0,5.0
5,83,5.0,0.0,0.0,0.0,0.0
5,84,5.0,5.0,5.0,5.0,0.0
5,85,5.0,0.0,0.0,0.0,0.0
6,86,3.0,0.0,0.0,0.0,0.0
6,87,4.0,0.0,0.0,0.0,0.0
6,29,4.0,0.0,0.0,0.0,0.0
6,30,4.0,4.0,4.0,4.0,0.0
6,88,4.0,4.0,4.0,4.0,0.0
6,89,4.0,4.0,5.0,4.0,4.0
6,90,4.0,0.0,0.0,0.0,0.0
6,91,4.0,0.0,0.0,0.0,0.0
6,92,4.0,0.0,0.0,0.0,0.0
6,93,4.0,2.0,4.0,4.0,0.0
6,94,4.0,4.0,2.0,5.0,0.0
6,95,4.0,0.0,0.0,0.0,0.0
6,15,5.0,5.0,5.0,5.0,5.0
6,3,5.0,0.0,0.0,0.0,0.0
6,96,5.0,5.0,5.0,5.0,0.0
6,97,5.0,0.0,0.0,0.0,0.0
6,98,5.0,0.0,0.0,0.0,0.0
6,99,5.0,5.0,4.0,5.0,0.0
6,100,5.0,0.0,0.0,0.0,0.0
6,101,5.0,5.0,4.0,4.0,0.0
6,102,5.0,0.0,0.0,0.0,0.0
6,13,5.0,0.0,0.0,0.0,0.0
6,103,5.0,5.0,4.0,5.0,5.0
6,104,5.0,0.0,0.0,0.0,0.0
6,105,5.0,5.0,5.0,5.0,0.0
6,46,5.0,0.0,0.0,0.0,0.0
6,106,5.0,0.0,0.0,0.0,0.0
